"","day","temp","crime_data_count"
"702",1,36.5,790
"703",2,40.9,856
"704",3,49.9,867
"705",4,35.1,764
"706",5,20,725
"707",6,14,649
"708",7,19,610
"709",1,21.6,630
"710",2,8.8,635
"711",3,16,650
"712",4,6.2,661
"713",5,21.3,799
"714",6,30.2,653
"715",7,18.8,630
"716",1,13,707
"717",2,22.4,756
"718",3,24.7,763
"719",4,35.2,798
"720",5,34.8,859
"721",6,32.4,784
"722",7,32.6,754
"723",1,19.6,679
"724",2,3.6,542
"725",3,20.4,426
"726",4,23.2,604
"727",5,32.7,735
"728",6,40.2,741
"729",7,35.4,718
"730",1,9.6,640
"731",2,7.8,561
"732",3,15.8,1205
"733",4,18.6,485
"734",5,4.3,562
"735",6,23.7,577
"736",7,20.9,404
"737",1,-7.7,367
"738",2,-7.3,467
"739",3,2.7,598
"740",4,7.9,614
"741",5,30.1,635
"742",6,37,654
"743",7,32.9,687
"744",1,41.3,761
"745",2,29.9,688
"746",3,19.8,745
"747",4,25.1,688
"748",5,17.8,746
"749",6,15.1,663
"750",7,18.7,648
"751",1,32.8,695
"752",2,10.4,590
"753",3,6.1,624
"754",4,3.4,625
"755",5,5.3,688
"756",6,23,678
"757",7,14.7,595
"758",1,4.8,546
"759",2,-5.2,595
"760",3,7.8,728
"761",4,23.9,752
"762",5,24,744
"763",6,25.2,789
"764",7,18.6,580
"765",1,7.9,677
"766",2,15.1,645
"767",3,23.3,559
"768",4,6.7,611
"769",5,2.3,693
"770",6,10.3,604
"771",7,14.1,648
"772",1,5.5,620
"773",2,3.5,595
"774",3,7.7,606
"775",4,22,642
"776",5,19.6,696
"777",6,14.7,639
"778",7,20.4,585
"779",1,23.8,598
"780",2,31,632
"781",3,38.1,710
"782",4,35.6,648
"783",5,33.9,718
"784",6,27.7,647
"785",7,22.7,631
"786",1,18.3,635
"787",2,18.5,650
"788",3,7.6,662
"789",4,11,613
"790",5,11.7,700
"791",6,24.6,737
"792",7,10.5,551
"793",1,6.7,594
"794",2,16.1,627
"795",3,21.4,637
"796",4,22.1,661
"797",5,28.6,757
"798",6,32.9,684
"799",7,27.1,621
"800",1,44.4,815
"801",2,43.7,698
"802",3,30.8,660
"803",4,21.5,718
"804",5,42.6,827
"805",6,36.8,844
"806",7,24.2,638
"807",1,26.2,705
"808",2,37.2,818
"809",3,43.5,761
"810",4,36.9,783
"811",5,41.1,801
"812",6,41.7,737
"813",7,27.2,647
"814",1,25.6,697
"815",2,27.4,700
"816",3,25.7,724
"817",4,38.7,719
"818",5,43.6,786
"819",6,35.6,771
"820",7,37.9,737
"821",1,52.1,736
"822",2,46.3,924
"823",3,41.3,725
"824",4,38.1,715
"825",5,39.9,811
"826",6,40,752
"827",7,42,709
"828",1,45.5,762
"829",2,50.2,748
"830",3,48.6,776
"831",4,58.2,811
"832",5,54.8,785
"833",6,62.7,872
"834",7,62.3,680
"835",1,46,689
"836",2,31.4,748
"837",3,37.5,772
"838",4,49.7,836
"839",5,48.3,787
"840",6,46.2,756
"841",7,59.6,690
"842",1,66.6,730
"843",2,54.3,736
"844",3,42.4,737
"845",4,49,769
"846",5,55.8,847
"847",6,51.9,778
"848",7,47.4,672
"849",1,50.3,724
"850",2,51.6,788
"851",3,50.4,798
"852",4,45.2,877
"853",5,48.2,864
"854",6,54.9,745
"855",7,55.4,721
"856",1,48.5,845
"857",2,50.4,825
"858",3,58.9,769
"859",4,68.7,767
"860",5,71.2,863
"861",6,61.6,817
"862",7,67.2,744
"863",1,72,813
"864",2,65,813
"865",3,53.3,787
"866",4,47.2,753
"867",5,41.4,841
"868",6,47.8,803
"869",7,56.4,859
"870",1,59.1,787
"871",2,70.8,764
"872",3,74.9,834
"873",4,66.8,789
"874",5,59.3,807
"875",6,59.6,759
"876",7,66.2,824
"877",1,73.7,778
"878",2,74.9,764
"879",3,63.6,801
"880",4,62.6,776
"881",5,65.4,828
"882",6,71,848
"883",7,75.4,1036
"884",1,76.1,876
"885",2,75.1,898
"886",3,66.2,775
"887",4,63.3,803
"888",5,67.5,859
"889",6,71.1,869
"890",7,65.1,773
"891",1,64.7,823
"892",2,60.4,673
"893",3,60,775
"894",4,67.9,822
"895",5,65.7,936
"896",6,65.9,843
"897",7,71.6,882
"898",1,78.4,872
"899",2,81.9,888
"900",3,78.3,771
"901",4,66,824
"902",5,73.8,887
"903",6,68.5,865
"904",7,70.1,867
"905",1,71.1,830
"906",2,76.6,861
"907",3,68.9,855
"908",4,64.4,826
"909",5,70.7,898
"910",6,79.1,853
"911",7,77.4,906
"912",1,78.9,801
"913",2,72.4,1011
"914",3,67.2,819
"915",4,62.8,886
"916",5,68.3,838
"917",6,69.2,898
"918",7,73,873
"919",1,79.7,899
"920",2,76.5,817
"921",3,72,854
"922",4,69.9,821
"923",5,70.3,943
"924",6,73.9,810
"925",7,75.8,849
"926",1,71.6,814
"927",2,63.5,817
"928",3,63.2,845
"929",4,66,808
"930",5,69.6,874
"931",6,70.4,868
"932",7,72.1,844
"933",1,74.9,810
"934",2,79.1,834
"935",3,72.9,861
"936",4,65.4,853
"937",5,65.8,925
"938",6,74,875
"939",7,77.9,890
"940",1,66.7,873
"941",2,68.5,804
"942",3,68.7,794
"943",4,71.1,861
"944",5,72.7,1080
"945",6,71.8,897
"946",7,75.4,846
"947",1,74.7,782
"948",2,71.4,825
"949",3,70.7,809
"950",4,71.9,843
"951",5,73.6,819
"952",6,73.5,887
"953",7,73.7,855
"954",1,72.4,874
"955",2,67,760
"956",3,68.5,857
"957",4,67,796
"958",5,65.1,863
"959",6,71.3,855
"960",7,69.7,862
"961",1,69.9,816
"962",2,77,776
"963",3,75.8,834
"964",4,74.9,778
"965",5,77.6,816
"966",6,77.1,822
"967",7,76.3,856
"968",1,79.3,777
"969",2,76.2,804
"970",3,73.9,782
"971",4,70.7,738
"972",5,75.8,885
"973",6,77.2,867
"974",7,76.2,830
"975",1,76.7,1014
"976",2,74.4,799
"977",3,72.8,723
"978",4,75.8,749
"979",5,79.6,844
"980",6,66.7,814
"981",7,67.2,823
"982",1,67.2,687
"983",2,70.3,788
"984",3,72.4,706
"985",4,54.2,748
"986",5,51.4,719
"987",6,47.4,685
"988",7,52.5,760
"989",1,56.4,738
"990",2,55.7,749
"991",3,59.3,796
"992",4,61.2,868
"993",5,62.9,876
"994",6,68.5,846
"995",7,64.7,791
"996",1,55.1,769
"997",2,59.8,835
"998",3,64.7,836
"999",4,65.4,750
"1000",5,65,879
"1001",6,65.6,892
"1002",7,64.9,837
"1003",1,66.2,800
"1004",2,53.3,781
"1005",3,57.9,977
"1006",4,66.9,805
"1007",5,59.6,779
"1008",6,42.5,723
"1009",7,44.9,716
"1010",1,51.6,722
"1011",2,54.8,758
"1012",3,54.5,746
"1013",4,54.4,686
"1014",5,49.8,741
"1015",6,47.3,801
"1016",7,49.4,691
"1017",1,59.3,705
"1018",2,62.9,730
"1019",3,52.7,773
"1020",4,52.7,746
"1021",5,54,868
"1022",6,48.6,838
"1023",7,42.6,744
"1024",1,54,758
"1025",2,50.3,777
"1026",3,48.2,727
"1027",4,45.6,776
"1028",5,56.9,879
"1029",6,62.1,802
"1030",7,53.7,751
"1031",1,60.2,812
"1032",2,60.9,770
"1033",3,46.6,796
"1034",4,42,779
"1035",5,41.5,824
"1036",6,37.5,908
"1037",7,36.4,727
"1038",1,50.5,774
"1039",2,55,776
"1040",3,46.9,743
"1041",4,47,669
"1042",5,37.8,781
"1043",6,42.8,746
"1044",7,41.2,685
"1045",1,49,776
"1046",2,48.9,675
"1047",3,29.4,595
"1048",4,26,662
"1049",5,25.7,754
"1050",6,24.5,749
"1051",7,25.9,675
"1052",1,18,624
"1053",2,13,624
"1054",3,22.1,633
"1055",4,22.1,633
"1056",5,19.6,733
"1057",6,37.1,728
"1058",7,50.4,688
"1059",1,42.4,592
"1060",2,23.8,662
"1061",3,22.2,677
"1062",4,25.3,453
"1063",5,21.9,605
"1064",6,37.2,706
"1065",7,45.6,722
"1066",1,22.4,813
"1067",2,24.7,650
"1068",3,30.1,750
"1069",4,28.3,691
"1070",5,34.7,802
"1071",6,35.1,660
"1072",7,31.2,595
"1073",1,33.5,709
"1074",2,35.4,652
"1075",3,31.2,726
"1076",4,28,638
"1077",5,28.5,727
"1078",6,38.5,768
"1079",7,47,714
"1080",1,45.6,729
"1081",2,41.9,660
"1082",3,27.8,736
"1083",4,24,667
"1084",5,28.7,768
"1085",6,30.2,739
"1086",7,33,650
"1087",1,33.5,647
"1088",2,43.7,673
"1089",3,39,568
"1090",4,36.6,439
"1091",5,41,626
"1092",6,43.6,717
"1093",7,29.3,632
"1094",1,26.8,678
"1095",2,17.1,571
"1096",3,10.5,585
"1097",4,19.9,1222
"1098",5,25.7,673
"1099",6,31.5,648
"1100",7,29,514
"1101",1,2.2,523
"1102",2,5.3,503
"1103",3,3.1,474
"1104",4,-2.1,448
"1105",5,8.1,590
"1106",6,4.8,647
"1107",7,25.8,649
"1108",1,23.1,607
"1109",2,16.9,612
"1110",3,10.5,675
"1111",4,22,763
"1112",5,28.3,710
"1113",6,34.2,741
"1114",7,36.8,698
"1115",1,31.8,708
